RBP name	GeneID	Functions																				Localization															Domains							Experiments							
		Essential Genes	Splicing regulation	Spliceosome	RNA modification	3' end processing	rRNA processing	Ribosome & basic translation	RNA stability & decay	microRNA processing	RNA localization	RNA export	Translation regulation	tRNA regulation	mitochondrial RNA regulation	Viral RNA regulation	snoRNA / snRNA / telomerase	P-body / stress granules	Exon Junction Complex	Novel RBP	Other	Nuclei	Nucleolus	Speckles	PML bodies	Cajal bodies	Cytoplasm	Mitochondria	Golgi	P bodies	ER	Cytoskeleton	Microtubule	Actin	Nuclear release mitosis	Cell Cortex	RRM	ZNF	KH	Helicase	Nuclease	dRBM	PUM_HD	eCLIP HepG2	eCLIP K562	RNAseq HepG2	RNAseq K562	RBNS	Image HepG2	ChIPseq HepG2	ChIPseq K562
UBE2L3	ENSG00000185651	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0
UCHL5	ENSG00000116750	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
UNK	ENSG00000132478	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0	1	1	1
UPF1	ENSG00000005007	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1
UPF2	ENSG00000151461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
UTP18	ENSG00000011260	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
UTP3	ENSG00000132467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0
WDR3	ENSG00000065183	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
WDR43	ENSG00000163811	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0
WRN	ENSG00000165392	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0
XPO1	ENSG00000082898	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
XPO5	ENSG00000124571	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0
XRCC5	ENSG00000079246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0
XRCC6	ENSG00000196419	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
XRN1	ENSG00000114127	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0
XRN2	ENSG00000088930	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1
YBX3	ENSG00000060138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0
YTHDC2	ENSG00000047188	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
YWHAG	ENSG00000170027	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	1	0	0
ZC3H11A	ENSG00000058673	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0
ZC3H8	ENSG00000144161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZCRB1	ENSG00000139168	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0
ZFC3H1	ENSG00000133858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0
ZFP36	ENSG00000128016	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ZNF106	ENSG00000103994	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ZNF326	ENSG00000162664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
ZNF622	ENSG00000173545	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ZRANB2	ENSG00000132485	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
SAFB	ENSG00000160633	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0
AGO2	ENSG00000123908	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1
NIPBL	ENSG00000164190	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ZNF800	ENSG00000048405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0
SDAD1	ENSG00000198301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0
STAU2	ENSG00000040341	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
